id	region_name	desc	union_id
42	Курская область	1	Первый
8	Белгородская область	1	Первый
72	Тамбовская область	1	Первый
79	Тюменская область	1	Первый
56	Омская область	1	Первый
33	Ханты-Манскийский автономный округ - Югра	1	Первый
87	Ямало-Ненецкий автономный округ	1	Первый
51	Ненецкий автономный округ	1	Первый
16	г. Санкт-Петербург	1	Первый
52	Нижегородская область	1	Первый
83	Владимирская область	1	Первый
34	Кировская область	1	Первый
47	Республика Мордовия	1	Первый
46	Республика Марий Эл	1	Первый
15	Чувашская Республика	1	Первый
73	Республика Татарстан	1	Первый
60	Пермский край	1	Первый
71	Свердлоская область	2	Второй
12	Челябинская область	2	Второй
41	Курганская область	2	Второй
7	Республика Башкортостан	2	Второй
86	Воронежская область	2	Второй
57	Орловская область	2	Второй
44	Липецкая область	2	Второй
28	Карачаева-Черкесская Республика	2	Второй
25	Республика Калмыкия	2	Второй
11	Чеченская Республика	2	Второй
43	Ленинградская область	2	Второй
50	Мурманская область	2	Второй
24	Калининградская область	2	Второй
62	Псковская область	2	Второй
54	Новгородская область	2	Второй
85	Вологодская область	2	Второй
5	Архангельская область	2	Второй
29	Республика Карелия	2	Второй
36	Республика Коми	2	Второй
81	Ульяновская область	2	Второй
58	Оренбургская область	2	Второй
68	Саратовская область	2	Второй
84	Волгоградская область	2	Второй
6	Астраханская область	2	Второй
59	Пензенская область	2	Второй
200	Республика Крым	2	Второй
400	г. Севастополь	2	Второй
31	Харабовский край	2	Второй
61	Приморский край	2	Второй
4	Амурская область	2	Второй
66	Сахалинская область	2	Второй
39	Краснодарский край	3	Третий
63	Ростовская область	3	Третий
1	Республика Адыгея	3	Третий
70	Ставропольский край	3	Третий
20	Республика Ингушетия	3	Третий
53	Республика Северная Осетия-Алания	3	Третий
23	Кабардино-Балкарская Республика	3	Третий
17	Республика Дагестан	3	Третий
80	Удмурстская Республика	3	Третий
49	Московская область	3	Третий
78	Тверская область	3	Третий
26	Калужская область	3	Третий
9	Брянская область	3	Третий
69	Смоленская область	3	Третий
76	Тульская область	3	Третий
88	Ярославская область	3	Третий
38	Костромская область	3	Третий
22	Ивановская область	3	Третий
64	Рязанская область	3	Третий
48	г. Москва	3	Третий
67	Самарская область	3	Третий
89	Еврейская автономная область	3	Третий
45	Магаданская область	3	Третий
27	Камчатский край	3	Третий
14	Чукотский автономный округ	3	Третий
55	Новосибирская область	3	Третий
75	Томская область	3	Третий
30	Кемеровская область	3	Третий
3	Алтайский край	3	Третий
19	Республика Алтай	3	Третий
40	Красноярский край	3	Третий
77	Республика Тыва	3	Третий
32	Республика Хакасия	3	Третий
21	Иркутская область	3	Третий
10	Республика Бурятия	3	Третий
65	Республика Саха (Якутия)	3	Третий
13	Забайкальский край	3	Третий
